Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,55-59 years,Both,Smoking,Exposure per 100,9.3321165669803,6.1472352923125,13.257011591394999
Mauritius,2015,55-59 years,Both,Smoking,Exposure per 100,12.780883656559999,9.5815437013108,16.415843396350997
Malawi,2015,55-59 years,Both,Smoking,Exposure per 100,8.1697206102856,6.2197165042129,10.490209705153001
Rwanda,2015,55-59 years,Both,Smoking,Exposure per 100,7.1919263322777995,5.0587655378436995,9.7841379182941
Somalia,2015,55-59 years,Both,Smoking,Exposure per 100,7.0517442903368,3.6514729956277,12.369277903259
Zambia,2015,55-59 years,Both,Smoking,Exposure per 100,9.6659079278226,5.9191651663164,14.109367905855
Kenya,2015,55-59 years,Both,Smoking,Exposure per 100,7.3404057679838,6.6466922885888,8.0681148788915
Madagascar,2015,55-59 years,Both,Smoking,Exposure per 100,7.1949610796622006,4.3714285221637,10.715252478676
South Sudan,2015,55-59 years,Both,Smoking,Exposure per 100,7.317310364573699,3.743110075619,13.810716136848999
Seychelles,2015,55-59 years,Both,Smoking,Exposure per 100,16.0156988391,11.996303772184,20.643150430774
Tanzania,2015,55-59 years,Both,Smoking,Exposure per 100,8.665332518578001,5.8917714021624,12.187635293423
Uganda,2015,55-59 years,Both,Smoking,Exposure per 100,8.3368905508194,4.4527434814529,13.629962704830001
Zimbabwe,2015,55-59 years,Both,Smoking,Exposure per 100,18.591083629612,11.707489088473,28.91176918179
Ethiopia,2015,55-59 years,Both,Smoking,Exposure per 100,3.7388039444392,1.9728440800923002,6.055187602080999
Eritrea,2015,55-59 years,Both,Smoking,Exposure per 100,4.851874775844401,2.5791889850584,8.279002357299401
Djibouti,2015,55-59 years,Both,Smoking,Exposure per 100,11.544529535803,7.0196100797073,17.248304588461
Comoros,2015,55-59 years,Both,Smoking,Exposure per 100,5.8955500907571,3.9912194116032,8.2582509339881
Burundi,2015,55-59 years,Both,Smoking,Exposure per 100,4.8083664131355,2.681256614484,7.6640255491364995
Gabon,2015,55-59 years,Both,Smoking,Exposure per 100,11.516722268814,7.055413039254101,18.551213615165
Equatorial Guinea,2015,55-59 years,Both,Smoking,Exposure per 100,10.030818571488,3.9188645821966004,29.528379846646004
Chad,2015,55-59 years,Both,Smoking,Exposure per 100,8.2779158322451,4.2138205922841,13.558524605606001
Sao Tome and Principe,2015,55-59 years,Both,Smoking,Exposure per 100,9.596124217825599,4.4554276505551,16.269316180897
Congo,2015,55-59 years,Both,Smoking,Exposure per 100,10.271119224542,5.5637731786622,17.633317087794
Democratic Republic of the Congo,2015,55-59 years,Both,Smoking,Exposure per 100,8.2462087308213,5.337744794096199,11.997032895029
Cameroon,2015,55-59 years,Both,Smoking,Exposure per 100,8.8571991226985,4.6371413165418,15.452439265948001
Central African Republic,2015,55-59 years,Both,Smoking,Exposure per 100,11.460790419605,5.3069751189345,19.430363617517
Angola,2015,55-59 years,Both,Smoking,Exposure per 100,11.862912234337001,4.7888285488546,29.712134598174
Morocco,2015,55-59 years,Both,Smoking,Exposure per 100,17.931792025085,12.328022108967,25.448951568719004
Libya,2015,55-59 years,Both,Smoking,Exposure per 100,20.033427597335,15.713703765491,24.846599293758
Sudan,2015,55-59 years,Both,Smoking,Exposure per 100,4.1616882209254,1.7298377172721,7.4791012863684
Tunisia,2015,55-59 years,Both,Smoking,Exposure per 100,26.731900400335,19.84505955108,34.544954639962
Algeria,2015,55-59 years,Both,Smoking,Exposure per 100,9.2542919255285,6.2743230317686995,13.382931159775
Namibia,2015,55-59 years,Both,Smoking,Exposure per 100,9.2456026216394,6.4384035407685,13.127573859215
Swaziland,2015,55-59 years,Both,Smoking,Exposure per 100,18.413504076576,7.0264590771902,31.87680056341
Lesotho,2015,55-59 years,Both,Smoking,Exposure per 100,23.438178001961,13.536991586627,34.923510784357
South Africa,2015,55-59 years,Both,Smoking,Exposure per 100,23.220948525301,20.758181048741,25.600073921255
Botswana,2015,55-59 years,Both,Smoking,Exposure per 100,21.148414942048998,9.1437911482609,48.418084067056
Togo,2015,55-59 years,Both,Smoking,Exposure per 100,8.3105902938141,4.9109868083607,12.827530847389
Sierra Leone,2015,55-59 years,Both,Smoking,Exposure per 100,13.669666575984,9.985440370796,18.451729977684998
Senegal,2015,55-59 years,Both,Smoking,Exposure per 100,6.963555625303,3.4732826821066003,12.546069362407
Nigeria,2015,55-59 years,Both,Smoking,Exposure per 100,4.5590263891558,2.4499573523663,7.7576135642011
Niger,2015,55-59 years,Both,Smoking,Exposure per 100,3.7565755478448004,1.8381700092197,6.597965342339
Mauritania,2015,55-59 years,Both,Smoking,Exposure per 100,7.700032835624,4.3041181868882,12.189394534593
Mali,2015,55-59 years,Both,Smoking,Exposure per 100,5.1456167269688,2.8886355834738,8.065736068786201
Liberia,2015,55-59 years,Both,Smoking,Exposure per 100,7.397280396846,4.554207734326201,11.241649841889
Guinea-Bissau,2015,55-59 years,Both,Smoking,Exposure per 100,8.5096184655161,2.9444577209146,21.18157605606
The Gambia,2015,55-59 years,Both,Smoking,Exposure per 100,8.437053940108399,6.1207329267335,11.30195106106
Guinea,2015,55-59 years,Both,Smoking,Exposure per 100,7.130838264398601,3.6925181057004,12.169629328691
Ghana,2015,55-59 years,Both,Smoking,Exposure per 100,5.0343866330933,2.5618465332586,8.6535608082122
Cape Verde,2015,55-59 years,Both,Smoking,Exposure per 100,9.3440571557408,6.616073848684,12.759090141931
Cote d'Ivoire,2015,55-59 years,Both,Smoking,Exposure per 100,7.739193136778701,4.5055066844493,12.490078055199
Burkina Faso,2015,55-59 years,Both,Smoking,Exposure per 100,6.5642143017623,3.5602024269231003,11.078786671523
Benin,2015,55-59 years,Both,Smoking,Exposure per 100,8.033012547655,4.197711103113,14.065374133901
Dominica,2015,55-59 years,Both,Smoking,Exposure per 100,9.2125020741863,6.526766892515901,12.250025833795
Dominican Republic,2015,55-59 years,Both,Smoking,Exposure per 100,10.310059008967,7.191177227972901,14.152481641046
Antigua and Barbuda,2015,55-59 years,Both,Smoking,Exposure per 100,5.0480081461114,3.2708451355362005,7.123518634616199
Cuba,2015,55-59 years,Both,Smoking,Exposure per 100,31.708508615758003,24.876067669233002,39.509147664381
Grenada,2015,55-59 years,Both,Smoking,Exposure per 100,12.680464363971,9.1274977196426,17.331172301513
Jamaica,2015,55-59 years,Both,Smoking,Exposure per 100,16.677206701029,12.183422508876001,21.941094630746
Trinidad and Tobago,2015,55-59 years,Both,Smoking,Exposure per 100,13.895909593860999,10.385199862613,17.604271456070002
The Bahamas,2015,55-59 years,Both,Smoking,Exposure per 100,10.432108635157,7.4554763302544,14.126982413863
Saint Lucia,2015,55-59 years,Both,Smoking,Exposure per 100,10.104337866037,6.9282225075791,14.566207938348
Saint Vincent and the Grenadines,2015,55-59 years,Both,Smoking,Exposure per 100,11.410901191794,7.8573938879547,16.215215786755
Barbados,2015,55-59 years,Both,Smoking,Exposure per 100,5.2459293041356,3.6162974588106,7.1170819211669
Haiti,2015,55-59 years,Both,Smoking,Exposure per 100,10.249339176217,6.989823318752,14.798371986497
Puerto Rico,2015,55-59 years,Both,Smoking,Exposure per 100,10.620258066224,7.9203717570586,13.955147057376
"Virgin Islands, U.S.",2015,55-59 years,Both,Smoking,Exposure per 100,13.988565059571002,10.450465470491,18.053150686602
Panama,2015,55-59 years,Both,Smoking,Exposure per 100,5.4244172995982,3.6708260499872996,7.4673120777723
El Salvador,2015,55-59 years,Both,Smoking,Exposure per 100,6.4192626327259,3.8208693538849,9.8519225166201
Nicaragua,2015,55-59 years,Both,Smoking,Exposure per 100,7.1638744283125,3.8407308409012,11.256120116123999
Mexico,2015,55-59 years,Both,Smoking,Exposure per 100,8.845312187706899,8.0229000101726,9.7980841340128
Honduras,2015,55-59 years,Both,Smoking,Exposure per 100,8.788739288164999,5.6964169543059,12.541060529278
Guatemala,2015,55-59 years,Both,Smoking,Exposure per 100,7.2015997818948,4.1667617652381,11.138109448341
Costa Rica,2015,55-59 years,Both,Smoking,Exposure per 100,6.920999948424999,4.5826482174815,9.8855931689966
Belize,2015,55-59 years,Both,Smoking,Exposure per 100,14.624929692020999,10.644013516612,19.451397436976002
United States,2015,55-59 years,Both,Smoking,Exposure per 100,28.099250410724004,26.372740477909,29.885863952571
Greenland,2015,55-59 years,Both,Smoking,Exposure per 100,73.442190822829,65.538403738504,79.893009707276
Bermuda,2015,55-59 years,Both,Smoking,Exposure per 100,19.222123764714,14.879348262172002,24.328935336343
Colombia,2015,55-59 years,Both,Smoking,Exposure per 100,9.699712826259201,6.9384628664412,13.076542159903001
Guyana,2015,55-59 years,Both,Smoking,Exposure per 100,10.220124866769,6.5148092010402,15.081661684695
Ecuador,2015,55-59 years,Both,Smoking,Exposure per 100,6.583599605324,4.7350914996759,8.734484845877601
Paraguay,2015,55-59 years,Both,Smoking,Exposure per 100,14.755677235737,10.952539597491,19.475182902468
Suriname,2015,55-59 years,Both,Smoking,Exposure per 100,17.681205024575,13.254830096882001,22.725324236323
Uruguay,2015,55-59 years,Both,Smoking,Exposure per 100,34.67836102517,30.011705420584,39.577899553163995
Venezuela,2015,55-59 years,Both,Smoking,Exposure per 100,19.303490748614998,14.688983440727,24.701973709009
Peru,2015,55-59 years,Both,Smoking,Exposure per 100,7.2450933650881,4.4735461024203,10.917597075862
Chile,2015,55-59 years,Both,Smoking,Exposure per 100,20.644214958679,17.197722833037,24.548667729599
Brazil,2015,55-59 years,Both,Smoking,Exposure per 100,16.683440939655,15.310829949293,18.115782008866
Bolivia,2015,55-59 years,Both,Smoking,Exposure per 100,17.324028794312,12.396428861294,22.860642633045
Argentina,2015,55-59 years,Both,Smoking,Exposure per 100,27.305916139271,23.459202693098998,31.330385927591
Turkmenistan,2015,55-59 years,Both,Smoking,Exposure per 100,8.7078976077042,6.1240532838126995,11.570120006162
Uzbekistan,2015,55-59 years,Both,Smoking,Exposure per 100,11.788828992538,8.8008333472853,14.986382979718
Tajikistan,2015,55-59 years,Both,Smoking,Exposure per 100,9.3615049953258,6.1311972329769,13.402899163165
Kyrgyzstan,2015,55-59 years,Both,Smoking,Exposure per 100,20.846425657529,17.387117044979,24.864816408292
Kazakhstan,2015,55-59 years,Both,Smoking,Exposure per 100,30.894506210165,26.483728784909,35.887138376418996
Mongolia,2015,55-59 years,Both,Smoking,Exposure per 100,25.307920277818003,20.981092339223,30.159265871583003
Taiwan,2015,55-59 years,Both,Smoking,Exposure per 100,18.193374109497,14.396531230444001,22.35871609522
South Korea,2015,55-59 years,Both,Smoking,Exposure per 100,16.4330390732,14.469977814218,18.513584961634
North Korea,2015,55-59 years,Both,Smoking,Exposure per 100,34.696620392202995,27.537915744584,42.932182342967
Japan,2015,55-59 years,Both,Smoking,Exposure per 100,15.079260332214,14.158072682662,15.982431765404002
China,2015,55-59 years,Both,Smoking,Exposure per 100,17.493294953066,15.333050093805001,22.063507624221
Myanmar,2015,55-59 years,Both,Smoking,Exposure per 100,28.61477118487,19.617880737502,39.667688490768995
Cambodia,2015,55-59 years,Both,Smoking,Exposure per 100,20.576005295245,17.124358044847,24.676445836025
