Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,1.6148350999999999,1.1377409,2.2198685
Mauritius,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,10.596153,7.9026825999999994,13.910212
Malawi,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.337761,1.7104046000000002,3.141721
Rwanda,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,1.8568447,1.4075141,2.4627781
Somalia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.6771255000000003,1.8951303999999998,3.6738396
Zambia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.311496,3.1758957,5.7175681
Kenya,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.739849599999999,3.8488596999999998,5.7627723
Madagascar,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.7484195,1.9867498000000001,3.8276527
South Sudan,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,3.2147954999999997,2.3180829,4.3240226999999996
Seychelles,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,12.749054000000001,9.6281305,16.214548
Tanzania,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,5.2576721,4.1105703,6.6498823
Uganda,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,1.2790933,0.93689729,1.7197905
Zimbabwe,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.671682,5.2585457,8.2675055
Ethiopia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.2514313,4.9996611,7.6987281
Eritrea,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.6333284,1.8464739000000001,3.6830898000000003
Djibouti,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,3.8935576,2.8674657999999997,5.272219
Comoros,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,1.7723516000000001,1.3291041,2.3426106
Burundi,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.5500949,1.7859620999999999,3.5638057
Gabon,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.1949454,4.5864731,8.0616817
Equatorial Guinea,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.933516300000001,5.1955052,9.118049599999999
Chad,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.9767363,5.156358,9.284258600000001
Sao Tome and Principe,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,1.2494922,0.87953787,1.7497334999999998
Congo,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,5.2655674999999995,3.9243504,6.9527589
Democratic Republic of the Congo,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.0010604999999995,2.9395854,5.2610885000000005
Cameroon,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,3.4252033,2.4810525,4.490263
Central African Republic,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.1764971,3.0546773,5.4797657
Angola,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,5.5750731,4.1739155,7.407119099999999
Morocco,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,8.0951132,6.0127549,10.390043
Libya,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,12.342770999999999,9.543473299999999,15.503773
Sudan,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,9.3833938,7.1489370999999995,12.123156999999999
Tunisia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,11.002152,8.630661700000001,13.664955
Algeria,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.9268838,5.2646503,8.9204684
Namibia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.7417353,5.4859526,8.2952298
Swaziland,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,7.6270729,6.1117426,9.3971148
Lesotho,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.0945098,3.2237634,5.1131342
South Africa,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,10.262877,8.5732959,12.180945999999999
Botswana,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.9558464,5.373060300000001,8.7367654
Togo,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.1108262,1.5503842,2.7647132
Sierra Leone,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.2855764999999995,4.5529976,8.4592216
Senegal,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,7.806874799999999,5.799651900000001,10.256097
Nigeria,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,5.7478186,4.4804242,7.4129477
Niger,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.3341015,3.2108198999999997,6.0022522
Mauritania,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,6.9126688000000005,5.1752336,9.0181775
Mali,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,4.7779717,3.4434322,6.570714
Liberia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,8.8156737,7.1451992,10.779637000000001
Guinea-Bissau,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,7.5002708,5.5529285,9.887507600000001
The Gambia,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,5.3373933,3.9308764000000003,7.2987035
Guinea,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,2.9270243000000002,2.1413818,3.9334755
Ghana,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,7.9918206000000005,6.2394176,9.8216765
Cape Verde,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,9.0545185,7.0999831,11.431932999999999
Cote d'Ivoire,2015,50-54 years,Both,High fasting plasma glucose,Exposure per 100,5.2344403999999995,3.7785616,7.278948300000001
