Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,1.3748452,0.93251457,1.8875636
Mauritius,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,9.7080112,7.2331779,12.829056
Malawi,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,2.0553671,1.4925546,2.744884
Rwanda,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,1.6324056,1.1864868,2.2136066
Somalia,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,2.435041,1.7277345,3.4310274
Zambia,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,3.9239376999999998,2.8423754,5.276034
Kenya,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,4.2393245,3.3470325,5.2179005
Madagascar,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,2.4888502,1.7355885000000002,3.3735026
South Sudan,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,2.9331725,2.1060843,3.9801246999999997
Seychelles,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,11.696742,9.102875000000001,15.328330000000001
Tanzania,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,4.7281321,3.6071486999999998,6.0373329
Uganda,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,1.7298687,1.2902375000000001,2.2876406
Zimbabwe,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,5.9934024,4.5390222,7.773395600000001
Ethiopia,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,5.6608003,4.4569153,7.0451267
Eritrea,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,2.3938577999999997,1.6798604000000001,3.2713354
Djibouti,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,3.5363536,2.5644828,4.7218584
Comoros,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,1.5537851999999999,1.1376095,2.0860344
Burundi,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,2.3122184,1.6166961,3.2340210000000003
Gabon,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,5.7587139,4.2782146,7.509505
Equatorial Guinea,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,6.389004,4.7732495,8.3315767
Chad,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,6.2239174,4.5907125,8.3258197
Sao Tome and Principe,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,1.0864819,0.7431590499999999,1.5419717
Congo,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,4.8204228,3.5147946,6.485347399999999
Democratic Republic of the Congo,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,3.6569312,2.6241779,5.014424
Cameroon,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,3.6598563,2.7658107000000003,4.7463719
Central African Republic,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,3.798531,2.7388118,5.0519105
Angola,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,5.0559144,3.6815333999999997,6.664109999999999
Morocco,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,7.5073846,5.5804599,9.8221719
Libya,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,11.479694,8.9129463,14.507249
Sudan,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,8.6312927,6.385990199999999,11.230908000000001
Tunisia,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,10.168885,7.763084800000001,12.945303
Algeria,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,6.2806085,4.619305600000001,8.2792111
Namibia,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,5.9773914999999995,4.8172310000000005,7.326062
Swaziland,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,6.8389878,5.4400932,8.4191784
Lesotho,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,3.5836585,2.7824963,4.5099873
South Africa,2015,45-49 years,Both,High fasting plasma glucose,Exposure per 100,9.4347157,7.7675745,11.177089
