Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,0.57465271,0.34925027,0.878378
Mauritius,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.5074297,3.6828469000000004,8.0734834
Malawi,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.5466344,1.0108582,2.2078423
Rwanda,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.0344001999999999,0.6739420399999999,1.4996397
Somalia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.1550561000000001,0.72033755,1.7145857
Zambia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.9888738,1.2942947,2.9325655
Kenya,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.2196388000000002,1.5587829,3.0134190000000003
Madagascar,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.2366082999999999,0.7741490400000001,1.8931756000000002
South Sudan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.3626838000000001,0.8678649599999999,2.0734664
Seychelles,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.573027000000001,3.0476719,6.487860500000001
Tanzania,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.462093,1.7052281999999999,3.3575088
Uganda,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,0.7610538499999999,0.48946780000000006,1.0933354
Zimbabwe,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.3263887999999997,2.3212610000000002,4.6070021
Ethiopia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.9847827000000002,2.0140102,4.1611932
Eritrea,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.1783609,0.7398196499999999,1.7522445000000002
Djibouti,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.7249376,1.0938066,2.5339203
Comoros,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,0.65726372,0.40999004,0.9879798599999999
Burundi,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.1407627,0.6903573900000001,1.7304458000000003
Gabon,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.9540176000000002,2.0019483,4.111396500000001
Equatorial Guinea,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.4707337999999996,2.384131,4.9368974
Chad,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6469724,2.4928102,5.0875682
Sao Tome and Principe,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,0.43501145999999996,0.2548808,0.68453774
Congo,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.5144414999999998,1.6832825,3.6053783999999998
Democratic Republic of the Congo,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.8628372,1.2062553999999999,2.6998010999999997
Cameroon,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.8021646999999998,1.2028049,2.5793979
Central African Republic,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.9387659000000002,1.2499741,2.8151831
Angola,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.578585,1.7374851,3.7238032
Morocco,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.062880600000001,2.7291767,5.6971073
Libya,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.973958,4.9738195,9.3056306
Sudan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.3039117000000005,2.94763,6.0438957
Tunisia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.8038909,4.0203765,8.0621466
Algeria,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6872949000000004,2.4501195,5.2578285000000005
Namibia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.2100279,2.2294542,4.4429313
Swaziland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.1530048999999996,2.2287965,4.3000076
Lesotho,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.7362909,1.1726786,2.3831692
South Africa,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.4500478999999995,3.9971732,7.1456276
Botswana,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.1457216000000003,2.1604404,4.3710582
Togo,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,0.97981375,0.62804259,1.447509
Sierra Leone,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.2192331,2.0581752,4.7725599
Senegal,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.347453300000001,2.996484,6.0317729
Nigeria,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.4944516,2.3867782,4.942684600000001
Niger,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.1575813999999998,1.3726859,3.1599682
Mauritania,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.4148052,2.3602311,4.8305821
Mali,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.3314394,1.5139977,3.4315538
Liberia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.6061207,3.3342617999999997,6.1310321000000005
Guinea-Bissau,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.8374379,2.701587,5.3770356
The Gambia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.7447216,1.8071195000000002,4.0447332000000005
Guinea,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.2681950000000002,0.80789709,1.8540661999999999
Ghana,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1290034,2.8933089,5.567909
Cape Verde,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.8423495,3.4323428000000002,6.7815557
Cote d'Ivoire,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.6283519,1.6889688999999999,3.8576495000000004
Burkina Faso,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.4015801,1.5364997999999999,3.4597818
Benin,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.2282703,2.2268526,4.5207638
Dominica,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4135805,3.1333279,6.049570800000001
Dominican Republic,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.9589520999999999,1.281816,2.7686929
Antigua and Barbuda,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.8255414000000005,3.4453459,6.51979
Cuba,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.2514166,3.7591074000000004,7.0486099
Grenada,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4882301,3.1563241,6.0896877
Jamaica,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.3749239,4.6272147,8.4080406
Trinidad and Tobago,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.8615664,3.4611166,6.7891911
The Bahamas,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.9161114,3.4410819000000004,6.7703351
Saint Lucia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.9817396,4.3638211,7.8490451000000006
Saint Vincent and the Grenadines,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.6040396999999995,3.2458770999999995,6.276066600000001
Barbados,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.8717590000000004,2.7961347,5.2009869
Haiti,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.2930776,2.3034688,4.6315163
Puerto Rico,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.559456900000001,4.7926031,8.6315267
"Virgin Islands, U.S.",2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.3071663,3.7217904,7.136137
Panama,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.705468100000001,4.9443095999999995,8.655972
El Salvador,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.695463200000001,3.4447305,6.1291434
Nicaragua,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7181837,3.4279089,6.2423151
Mexico,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,7.784329399999999,5.9125472,9.848012
Honduras,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.108236,2.9956885,5.4263689
Guatemala,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.5357902,3.2751687,6.0078081
Costa Rica,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.5309102,4.0847111,7.296706
Belize,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.3493245,3.0944373,5.856648099999999
United States,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.0928794,3.7766263,6.6110075
Greenland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.0126085,2.8930817,5.3391047
Bermuda,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6107308999999996,2.5807433,4.8845623
Colombia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.1973578000000002,2.2722289,4.2570595
Guyana,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1528236000000005,2.8954478,5.6403689
Ecuador,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.854355,3.4927379000000003,6.495321499999999
Paraguay,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7275878,3.4797035,6.1427094
Suriname,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4981737,3.1171545,6.0899131
Uruguay,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1922808,3.0500749000000003,5.7183209999999995
Venezuela,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7101628,3.4342895999999996,6.2198952
Peru,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.5305216,3.9139617,7.3909937999999995
Chile,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.730178,3.4169186,6.3083693
Brazil,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.2042654,3.0927079,5.4807942
Bolivia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.102244000000001,3.587183,6.883552699999999
Argentina,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.9019912,4.3927491,7.5593114
Turkmenistan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.5738632,2.3807617,5.2218776
Uzbekistan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.4077652,2.4486852999999997,4.5015924
Tajikistan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.8441809,1.8743264999999998,4.0225562
Kyrgyzstan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.035141,1.9848808999999998,4.3807484
Kazakhstan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6335696,2.4057332000000002,5.279738099999999
Mongolia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.2125726,2.217203,4.4841964
Taiwan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.8464196,4.269775399999999,7.7662781
South Korea,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.8416550000000003,2.7755985,5.0881959
North Korea,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.0187143,2.8044078,5.5301037
Japan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.8797082,3.6333195999999996,6.352481999999999
China,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.2368693,3.8792528,6.7310153999999995
Myanmar,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.9962994,1.9939016999999999,4.1550823
Cambodia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,0.76628262,0.47653089,1.1320766
Vietnam,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.1628653,2.0549452,4.6084125
Laos,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.0004342999999998,1.9750344,4.424813400000001
Malaysia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.8508005,4.0340804,8.3391853
Thailand,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1918494,2.9497432,5.7618722
Brunei,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.9426466,3.4930933,6.734857
Philippines,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.8041486,1.8884405,4.0098742
Indonesia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.8389958,2.5950428000000003,5.2405812
Singapore,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.8094580000000002,2.6545011,5.3379495
Timor-Leste,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,1.3128261,0.88413917,1.8317644000000002
Maldives,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.1742584,2.0587426,4.5458037
Nepal,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.5852706,3.3226389000000003,5.9098787999999995
Pakistan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.3012236999999995,3.8539007,6.9172122
Iran,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.131798099999999,2.9274555,5.4841112
Sri Lanka,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6084585000000002,2.3980375,5.2015569
Bhutan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.2920563,4.6922348000000005,8.115070300000001
Bangladesh,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.4673675,3.9872322000000002,7.2363608
Afghanistan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.1039072,2.0701168,4.41317
Oman,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4184665999999995,2.9824178999999997,6.131972
Kuwait,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.4143712,3.9624736,7.0406035000000005
Palestine,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.5310322,3.1743995999999997,6.1281156
Lebanon,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.4363094,3.8195875,7.4825503
Qatar,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.2303657,2.2760844,4.3956414
Saudi Arabia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.683184799999999,4.2598754,7.275292299999999
Turkey,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.1991724999999995,4.4457469,8.2414746
Yemen,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.9939165,2.6646240000000003,5.6807391
Iraq,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.7076667,2.4968838,5.1693276
Jordan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,8.252298099999999,5.9134353,10.908641
Syria,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.6072241,3.0887457,6.387296300000001
Israel,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.9090372,4.3981186999999995,7.647173899999999
Georgia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.7544932,2.4694061,5.4612093
Cyprus,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.779607100000001,3.3846211,6.337975
Bahrain,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.1225211,3.4473676,7.2514541
Azerbaijan,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6616396000000004,2.4283735,5.236472200000001
Armenia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.5185106,2.3732692,5.1130395
United Arab Emirates,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,7.291089700000001,5.0450914,9.984786099999999
Moldova,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.4375402999999998,2.4253404,4.5874689
Hungary,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.8494140000000003,2.5969481,5.5231255
Poland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.4370888,3.8447416999999997,7.567276100000001
Romania,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1635148,2.7725695000000004,6.1302785
Ukraine,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6163628,2.4806407999999998,4.9817026
Belarus,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6409598,2.598325,4.9611598
Czech Republic,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.2282253999999995,2.7806483,6.0263488
Russia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6346916,2.5834224999999997,4.745589900000001
Slovakia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.398164899999999,2.8488601,6.3863456
Bulgaria,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.2685259,2.7832756,6.0902294
Norway,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.8307907,3.5102975,6.3899972
Sweden,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.2278428,3.0561078,5.6364629
Lithuania,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4736192,3.1425118000000003,6.011078100000001
Latvia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.764141,2.6499551,5.1405143
Ireland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.4994785,2.4626089,4.7598991999999996
Iceland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.0399851,3.5716943,6.7384794
United Kingdom,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4778254,3.2835774,5.8677904000000005
Finland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.074067,3.6897626000000003,6.698633
Estonia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6683772,2.6196912,4.8790697000000005
Denmark,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.2910099,3.1269152,5.7529308
Macedonia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1299704,2.6863066,5.9386097
Montenegro,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4743482,3.0320840000000002,6.3575573
Croatia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.774883,3.1406414000000002,6.774836
Malta,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7726586,3.4501508,6.3553058
Slovenia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.2697676,2.7965713,6.1531648
Greece,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.5224151000000004,2.4849021999999996,4.7555037
Italy,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.6105948999999997,2.5461243000000002,4.8069809
Portugal,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.7304033,2.6383059,5.0553363
Serbia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.187154,2.8032327,6.0211711
Spain,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.0585695,3.7509397,6.6638171999999996
Bosnia and Herzegovina,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1150644,2.7071089,5.7760987
Andorra,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.4474971000000005,3.1172112,5.9252404
Albania,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7000878,3.2421529,6.523825199999999
Netherlands,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.0127479,2.0715183,4.0325187
Luxembourg,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7441043,3.4364037,6.2826328
France,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.1990514999999995,2.9963089,5.5381831
Germany,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.082791,2.1608986,4.1892659
Switzerland,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.7747567,3.4581698000000003,6.3239217
Belgium,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.6189476,3.2569751,6.199874400000001
Austria,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.7162632,2.6280094,5.0122272
New Zealand,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.4266278,4.017072499999999,7.093977199999999
Australia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.9269793999999996,2.8381301000000003,5.220487
Papua New Guinea,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.9770266,3.3138666,7.1330145
Vanuatu,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.145238,3.5784497999999996,7.0214108
Solomon Islands,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.9722441,3.1758137,7.3766872
Fiji,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,4.6250544,2.8874472,6.898911300000001
Guam,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.700167799999999,4.3102246,10.094655
Northern Mariana Islands,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.6805825,4.1917164,10.125166
Marshall Islands,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.4708129,4.1983083,9.4761774
Federated States of Micronesia,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.0128745,3.93296,8.7727375
Kiribati,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.9948597,3.9353248,8.7153986
Samoa,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.0786076,4.0286485,8.8225134
Tonga,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,5.1969069999999995,3.3356901000000003,7.673063900000001
American Samoa,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,8.0254994,5.49278,11.311296
Canada,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,3.3132661,2.3863163,4.4002619
Egypt,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,2.3821624,1.5320799,3.4158635999999998
India,2015,25-29 years,Both,High fasting plasma glucose,Exposure per 100,6.9409236,5.2222102999999995,8.781707299999999

"Global Burden of Disease Study 2015. Global Burden of Disease Study 2015 (GBD 2015) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016."
"Available from from https://http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
