Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,0.8208116499999999,0.52759685,1.2316087999999998
Mauritius,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,6.889539999999999,4.7985069,9.525390699999999
Malawi,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.0701276,1.4445569,2.8447932
Rwanda,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.1031409,0.74704001,1.5344112
Somalia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.4432748,0.9316611100000001,2.1306572
Zambia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.4816746,1.6613210999999999,3.5565723
Kenya,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.7520649,2.0362457000000003,3.6152206
Madagascar,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.5437858,1.0107104,2.2017187000000003
South Sudan,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.7366857999999998,1.149772,2.5085708
Seychelles,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.9050553,4.102004699999999,8.340041300000001
Tanzania,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.2117087000000004,2.3008075,4.379629
Uganda,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.0761111,0.73426613,1.4906587
Zimbabwe,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.2175859,3.0784295999999998,5.632378200000001
Ethiopia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.6552526000000003,2.5998373000000004,5.182999
Eritrea,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.4905147,0.95858369,2.1653676
Djibouti,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.1594390000000003,1.4701532,3.0872734
Comoros,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,0.93968641,0.62787086,1.3291427999999998
Burundi,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.4244854,0.9191647199999999,2.0916574
Gabon,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.850178,2.6668129,5.3257275
Equatorial Guinea,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.3367833000000005,3.0969324,5.8904555
Chad,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.6018206,3.2833903999999996,6.3253254
Sao Tome and Principe,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,0.63470257,0.40357001000000003,0.94735175
Congo,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.2483394999999997,2.2037223000000004,4.5634980999999994
Democratic Republic of the Congo,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.394275,1.6261497999999999,3.4023247999999997
Cameroon,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.3996428,1.6809793,3.2693893000000003
Central African Republic,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.498607,1.6590243,3.6142841000000003
Angola,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.3081956000000003,2.318551,4.6571579000000005
Morocco,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.0583038,3.4611061,6.9548264
Libya,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,8.424174800000001,6.254295999999999,11.020435
Sudan,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.4778687999999995,3.8024873,7.4054115000000005
Tunisia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,7.1798451,5.075381,9.6561477
Algeria,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.4514921,3.1140423999999998,6.0766079
Namibia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.085847,2.9555034,5.4573741
Swaziland,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.1057836,2.9966656,5.3653609
Lesotho,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.3108823000000003,1.6546041,3.0381
South Africa,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,6.8685912,5.3079825,8.552821
Botswana,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.9745424000000003,2.8418742,5.3637821
Togo,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.3417195,0.90209078,1.9141294
Sierra Leone,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.9108265,2.6637141,5.5686831
Senegal,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.3815991,3.8608164,7.3262364
Nigeria,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.9953427,3.6756068,6.5891787
Niger,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.8057681,1.8716848000000001,4.0393457
Mauritania,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.3883745,3.0931808000000003,5.9896056
Mali,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.0105736000000003,1.9991063999999998,4.4578891
Liberia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.7687018,4.4133551,7.4676126
Guinea-Bissau,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.9012046,3.4607819999999996,6.6020213
The Gambia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.5373539000000003,2.3780086999999996,5.0156791
Guinea,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,1.7183011000000001,1.1743649999999999,2.4573712000000003
Ghana,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.2547853,3.9082701999999996,6.9590955999999995
Cape Verde,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,6.0195759,4.454900299999999,8.0112778
Cote d'Ivoire,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.5194378,2.3781512,4.9928974
Burkina Faso,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,3.1378616,2.1049721,4.4911407
Benin,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.1190449,2.9326499999999998,5.6259046999999995
Dominica,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.5351518,4.0423903999999995,7.1272768
Dominican Republic,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,2.6145844,1.8443072,3.6088660000000004
Antigua and Barbuda,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.9734501,4.3832466,7.8118384
Cuba,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,6.499669,4.697796299999999,8.531989900000001
Grenada,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.62171,4.1027769,7.555350700000001
Jamaica,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,7.8233317,5.9393052,9.908438499999999
Trinidad and Tobago,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.9094854,4.3982714,7.7812403
The Bahamas,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,6.0871534,4.4447526,8.1330337
Saint Lucia,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,7.3792732999999995,5.6207296,9.2004187
Saint Vincent and the Grenadines,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,5.7762235,4.1996658,7.6866783
Barbados,2015,30-34 years,Both,High fasting plasma glucose,Exposure per 100,4.8982009,3.6084252999999995,6.2834717
