Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.016572591,0.0134223482,0.0200834229
Mauritius,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0769832588,0.0627320608,0.0920853026
Malawi,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0143708299,0.0117047833,0.0172769812
Rwanda,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0130252438,0.0106047189,0.015697181
Somalia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0168263865,0.0137004007,0.0202558007
Zambia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0180612278,0.0146491795,0.0218397101
Kenya,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0140736263,0.0114971434,0.0170710211
Madagascar,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0137184583,0.011237259,0.0166297328
South Sudan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0187534311,0.0152440924,0.0226565121
Seychelles,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0372954901,0.0303605762,0.0445813453
Tanzania,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0133867605,0.0109409209,0.0161550379
Uganda,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0149265843,0.0122994623,0.01802137
Zimbabwe,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0267583614,0.0221016545,0.0314648144
Ethiopia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0161394278,0.013142407,0.0196335432
Eritrea,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0155357243,0.0125834518,0.0185752541
Djibouti,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0204007415,0.0166928682,0.0248384409
Comoros,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0163730389,0.0133862416,0.0196979574
Burundi,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0142527741,0.0117422516,0.0171075389
Gabon,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0332304017,0.0269076819,0.0400343732
Equatorial Guinea,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0386265863,0.031206135,0.047006663
Chad,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0242160464,0.0199585619,0.0287743812
Sao Tome and Principe,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0201278694,0.0165743641,0.0239932927
Congo,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0287236813,0.0232493175,0.0344502793
Democratic Republic of the Congo,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0220722997,0.0179656085,0.0266388504
Cameroon,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0245482097,0.020199357,0.0293402994
Central African Republic,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0271408195,0.0221770985,0.0325450665
Angola,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0275256251,0.0223584487,0.0333552414
Morocco,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0395100114,0.032849131,0.0465065995
Libya,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.026032677,0.0214783425,0.0305421753
Sudan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0272065185,0.0225760007,0.0323007903
Tunisia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0301894671,0.0252711349,0.0353021314
Algeria,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0418731545,0.0348039423,0.0497173533
Namibia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.028345085,0.0235878477,0.033468325
Swaziland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0428711861,0.0352517074,0.051369562
Lesotho,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0356262819,0.0296836434,0.0422889868
South Africa,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0332796081,0.02762364,0.0390852973
Botswana,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0348726175,0.0285109469,0.0421058302
Togo,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0207665171,0.0173918319,0.0245767469
Sierra Leone,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0224428191,0.0187316773,0.0264849099
Senegal,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.025643208,0.0209163391,0.0304416756
Nigeria,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0163349813,0.013718289,0.0192969725
Niger,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0216252679,0.0180030846,0.0256826953
Mauritania,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0226516313,0.0186454048,0.0269878528
Mali,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0211807863,0.0177179458,0.0249225901
Liberia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0208860422,0.01746058,0.0245984767
Guinea-Bissau,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0256962878,0.0213493885,0.0304204656
The Gambia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0176262721,0.0147565638,0.0206681997
Guinea,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0177074004,0.0148047217,0.0207735644
Ghana,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0217970923,0.018042197,0.0256236437
Cape Verde,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0315208059,0.0264131785,0.0368887533
Cote d'Ivoire,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0237391955,0.0197475132,0.0282230485
Burkina Faso,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0191644632,0.0158866991,0.0229737444
Benin,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0185114056,0.0153456157,0.0219326222
Dominica,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0485461359,0.0410026621,0.0563140442
Dominican Republic,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0225271317,0.0189156778,0.0263414123
Antigua and Barbuda,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.03219637,0.0270263194,0.0377333718
Cuba,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0202856226,0.017164902,0.0238201215
Grenada,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0379356777,0.0317444338,0.0444965677
Jamaica,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0332513565,0.0281102391,0.0386057309
Trinidad and Tobago,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0445416453,0.0370482619,0.0531282504
The Bahamas,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0340646994,0.0280250133,0.0402717054
Saint Lucia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0312279484,0.0263363769,0.0360844886
Saint Vincent and the Grenadines,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0394572259,0.0325004806,0.046184366
Barbados,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0404298047,0.0335283361,0.0477565881
Haiti,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0293766991,0.0244423189,0.0345992408
Puerto Rico,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0315120481,0.0263915343,0.0370281544
"Virgin Islands, U.S.",2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0285933462,0.0236813239,0.0337658044
Panama,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0303512965,0.0255388293,0.0353752107
El Salvador,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0337197747,0.0278339097,0.0401388973
Nicaragua,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0241780543,0.0204621684,0.0281697793
Mexico,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0454366322,0.0385669075,0.0523807396
Honduras,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.02449069,0.0201316668,0.0292075448
Guatemala,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0475426052,0.0396833791,0.0561400211
Costa Rica,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0169262746,0.0142355628,0.0200225963
Belize,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0317942067,0.0262453339,0.037489274
United States,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0216462459,0.0200085934,0.0233101087
Greenland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0088595666,0.0074097255,0.0103995859
Bermuda,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0212980188,0.0177125604,0.0249650087
Colombia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0208118042,0.017662344,0.0243071745
Guyana,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0383539745,0.0317931281,0.0451809269
Ecuador,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0240817539,0.0196319435,0.0284991341
Paraguay,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.026979759,0.0223805369,0.0316766158
Suriname,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0304828074,0.025519063,0.0357698178
Uruguay,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0089245182,0.0075514873,0.0102939992
Venezuela,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0288069141,0.0242582493,0.0341406028
Peru,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0121382333,0.0099865888,0.0144486886
Chile,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0081262488,0.006763527,0.0095705295
Brazil,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0228175394,0.0191209764,0.026497812
Bolivia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0207774013,0.0174995542,0.0242502808
Argentina,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0099365444,0.0084826263,0.0114857564
Turkmenistan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0198486088,0.016659156,0.0235024899
Uzbekistan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0171460634,0.014385562,0.0203177206
Tajikistan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0138685815,0.0116353233,0.0161334916
Kyrgyzstan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0111570968,0.0093338753,0.0130726741
Kazakhstan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.015722342,0.0130715947,0.0188051633
Mongolia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0154479059,0.0126480495,0.0183318585
Taiwan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.048783589,0.0399373701,0.0584796525
South Korea,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0120457753,0.0099149566,0.0141265574
North Korea,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0342971698,0.0281576092,0.041391969
Japan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0073626418,0.006215249,0.0085848776
China,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0425315555,0.0363401167,0.0490728133
Myanmar,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0399072713,0.0324706897,0.0485262077
Cambodia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0232455579,0.0191118356,0.0277762545
Vietnam,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0227752318,0.0185172273,0.027259267
Laos,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0437823463,0.0362258117,0.0521588608
Malaysia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0338113599,0.027694608,0.0402581313
Thailand,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0312936082,0.0256909218,0.0374805874
Brunei,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0239010763,0.0201503042,0.0278628606
Philippines,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0475162187,0.0396980796,0.0562395087
Indonesia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0458601756,0.0373461859,0.0545726129
Singapore,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0071612186,0.005880702,0.008387385
Timor-Leste,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0272929957,0.0227672664,0.0329541409
Maldives,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0220911081,0.0183838114,0.0262387163
Nepal,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0233982943,0.0192873181,0.0278413612
Pakistan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0373849373,0.0311822624,0.0440550445
Iran,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0258968212,0.0214514123,0.0302625175
Sri Lanka,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0418787388,0.0350343656,0.0495292946
Bhutan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0383150635,0.0318366891,0.0452936899
Bangladesh,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0267166123,0.0222881918,0.0316339829
Afghanistan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0374581507,0.030425193,0.0450381962
Oman,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0306494895,0.0249311825,0.0366278306
Kuwait,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0260427085,0.0213544563,0.0309864814
Palestine,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0234216633,0.0197317579,0.0274598557
Lebanon,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0323291061,0.0265045223,0.038603561
Qatar,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0277740185,0.022433202,0.033426627
Saudi Arabia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0262654545,0.0218351365,0.0308009932
Turkey,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0253264191,0.0211195497,0.029840356
Yemen,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0265837085,0.0220363339,0.0314143915
Iraq,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0561749928,0.0463920236,0.0666737087
Jordan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0303140605,0.0248653544,0.0359902688
Syria,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0234773835,0.0196902868,0.0278762489
Israel,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.009914809,0.0082758987,0.0116758708
Georgia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0148625578,0.0124071923,0.0173212932
Cyprus,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0134700528,0.0115214519,0.0154073783
Bahrain,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0398599323,0.0324704676,0.0475830928
Azerbaijan,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0184572282,0.0155922174,0.0216100126
Armenia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0205416034,0.0172373491,0.0241175635
United Arab Emirates,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0337415563,0.0269780054,0.0411236306
Moldova,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0095358997,0.007996637,0.0111897788
Hungary,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0096152893,0.0080092212,0.0112701647
Poland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0077066527,0.0063231005,0.0091320743
Romania,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0071456111,0.0059918377,0.008366665
Ukraine,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0106839667,0.0089287882,0.0127362732
Belarus,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0094541784,0.0078637926,0.0111442482
Czech Republic,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0076063898,0.0063473471,0.0090156687
Russia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0092720815,0.0078408198,0.0107687674
Slovakia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0076934053,0.0063560665,0.0090085372
Bulgaria,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0111386017,0.0094032926,0.0129608937
Norway,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0141535963,0.0120793227,0.0162490559
Sweden,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0167457296,0.0143641065,0.0193641201
Lithuania,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0109168992,0.00906243,0.0129999717
Latvia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0121557606,0.0100694359,0.0142189972
Ireland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0099875261,0.0084811184,0.0115568722
Iceland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0071878701,0.0059322096,0.0084576439
United Kingdom,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.010535904,0.0090774957,0.012059484
Finland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0148232875,0.0124822668,0.0174898547
Estonia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0093165505,0.0077893499,0.0110850079
Denmark,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0128661684,0.0109108419,0.014852732
Macedonia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.010460886,0.0088736071,0.0122134034
Montenegro,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0124517662,0.0102434603,0.0146015598
Croatia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0056928892,0.0046838958,0.0067543984
Malta,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0171692029,0.0146911811,0.0197851625
Slovenia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0051619714,0.0041495205,0.0061488346
Greece,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0066776064,0.0055353132,0.0079671424
Italy,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0094623307,0.0079950925,0.0108597589
Portugal,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0099240156,0.0083833292,0.0114886853
Serbia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0103177005,0.0085159892,0.0121375866
Spain,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0086930349,0.0073372158,0.0100238073
Bosnia and Herzegovina,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0126303922,0.0105217965,0.0149405478
Andorra,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0088133958,0.0074108875,0.0103673491
Albania,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0067491852,0.0057413038,0.0079169964
Netherlands,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0106993335,0.0089695091,0.0125896261
Luxembourg,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.011017284,0.0092482141,0.0130744944
France,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0070716896,0.0059251611,0.0082456121
Germany,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0089954983,0.0074962933,0.0105245721
Switzerland,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0076596315,0.0064324847,0.0089817665
Belgium,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.009819394,0.0082642789,0.0114933002
Austria,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0083523681,0.0070750445,0.0097259954
New Zealand,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0173347014,0.0145699512,0.02044122
Australia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0122261261,0.0104635198,0.0140047218
Papua New Guinea,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0663648074,0.0543605363,0.0792188372
Vanuatu,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0664169542,0.0533986734,0.0802205494
Solomon Islands,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0783221487,0.0634246904,0.0947562265
Fiji,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1132259443,0.0937304371,0.1355769173
Guam,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0675793662,0.0560595414,0.0802361016
Northern Mariana Islands,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0608169179,0.0502120081,0.0729339778
Marshall Islands,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1614010283,0.1316210793,0.1940495684
Federated States of Micronesia,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0788448637,0.0639494809,0.0952339813
Kiribati,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0970378362,0.0784777022,0.1167670306
Samoa,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0677909975,0.0553435978,0.0827027415
Tonga,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0669273461,0.0551017313,0.0794875977
American Samoa,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0985943798,0.0805049569,0.1195158881
Canada,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0117363139,0.0101401437,0.0135110164
Egypt,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0277076948,0.0227822204,0.0330534289
India,2015,25-29 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0261654885,0.0217448828,0.0307047214
,,,,,,,,
"Global Burden of Disease Study 2015. Global Burden of Disease Study 2015 (GBD 2015) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016.",,,,,,,,
Available from from https://http://vizhub.healthdata.org/gbd-compare/,,,,,,,,
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions",,,,,,,,
