Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0631637433596,0.0526189589001,0.0734981620249
Mauritius,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.305650354523,0.262776434012,0.349659781012
Malawi,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0550187727683,0.046090385513,0.0640675812359
Rwanda,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0546208706173,0.045745283348,0.0641295078736
Somalia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0649884030364,0.054530274892,0.0756911454176
Zambia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0683794023102,0.0575265213001,0.0804848944514
Kenya,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0563176903247,0.0475383212106,0.0661595109885
Madagascar,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0532925891623,0.0449173634762,0.0626123900953
South Sudan,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.072339974586,0.0600408752565,0.0852608589039
Seychelles,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.133482948441,0.11463898156,0.15356726788
Tanzania,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0526534442936,0.0443720579911,0.0615644680481
Uganda,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0551651542806,0.0467606897919,0.0645092326764
Zimbabwe,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.103182673431,0.0879590111863,0.120360921356
Ethiopia,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0604859268242,0.0509044877337,0.0701589929826
Eritrea,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0616242237686,0.0518526384237,0.0718951970739
Djibouti,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0759426705423,0.0636910108804,0.0899928965267
Comoros,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0657536409587,0.0551254272524,0.0768915109766
Burundi,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0550972853096,0.0462459834222,0.065131159185
Gabon,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.13512280179,0.114309061769,0.160119717505
Equatorial Guinea,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.15107531927,0.12483711704,0.178499149263
Chad,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0722796920045,0.0609149665408,0.0847353135925
Sao Tome and Principe,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0649961684429,0.0554920282563,0.0763357997025
Congo,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.119677566403,0.100832238688,0.140757537171
Democratic Republic of the Congo,2015,45-49 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0889656365429,0.0741139385134,0.104092088091
