Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0477544589948,0.0392953642232,0.0564550009529
Mauritius,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.225995378589,0.188883846995,0.270983987808
Malawi,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0414632186472,0.0343619793378,0.0488968785603
Rwanda,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0403614442518,0.0331807333512,0.0478951303395
Somalia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0491961114396,0.0403072657803,0.0579807315373
Zambia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0520099711027,0.0435408540265,0.061748494257
Kenya,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0421185063451,0.0347025043517,0.0496935656664
Madagascar,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.040107701235,0.0331528612298,0.0473563124798
South Sudan,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0546444328307,0.0447307430811,0.0650871889365
Seychelles,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.101466396187,0.0857323877313,0.119077338522
Tanzania,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0393915464321,0.0322785685881,0.046525875572
Uganda,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0419134036842,0.034923336715,0.0496974819149
Zimbabwe,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0755673279485,0.06243206166,0.0895670566909
Ethiopia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0459240454668,0.038415374005,0.0542797244424
Eritrea,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0464280230132,0.0385266631766,0.0551889508102
Djibouti,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0575364104755,0.0473240548192,0.0685849137444
Comoros,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0493997564806,0.0409684020746,0.0583776724827
Burundi,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0414720965876,0.0343568797382,0.0494484015108
Gabon,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.100960205981,0.0834173765482,0.119437645257
Equatorial Guinea,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.113967108383,0.0926579841709,0.136999445094
Chad,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0578891897059,0.0482922547685,0.0687065877005
Sao Tome and Principe,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0514743692864,0.0432486703068,0.0606862300748
Congo,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0892733364768,0.0729909909252,0.106487912138
Democratic Republic of the Congo,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0663705710566,0.0548576878094,0.0786984874227
Cameroon,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0592603287788,0.0499375135989,0.0700436476557
Central African Republic,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0810593530731,0.0662874013238,0.0962243431005
Angola,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0819075680574,0.0670852173795,0.0974539934069
Morocco,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.137258823235,0.112944908187,0.164313606093
Libya,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0993888450347,0.0828745184179,0.117430857964
Sudan,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0992713567956,0.0816471347447,0.117879426523
Tunisia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.105222793752,0.0882170894182,0.125683213674
Algeria,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.128954397975,0.109392865872,0.150807592722
Namibia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0884325295749,0.0721405953083,0.105464292007
Swaziland,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.131541324965,0.107267432745,0.158187146924
Lesotho,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.110307546722,0.0897191568093,0.131515867966
South Africa,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.101942586296,0.0851130196706,0.118860018138
Botswana,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.108061006559,0.0883725144833,0.130555641387
Togo,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0508019177221,0.0428924141295,0.0591689952617
Sierra Leone,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0540450870237,0.0458582120179,0.0636519908375
Senegal,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0632701869127,0.0529934391513,0.0746970214275
Nigeria,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0403974277541,0.0341339016825,0.0470793183798
Niger,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0524140234491,0.0441964721045,0.0612936795074
Mauritania,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0539281150326,0.0450130193042,0.0641193709809
Mali,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0510896257074,0.0429925977217,0.0598829354361
Liberia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0528031601687,0.0442746862308,0.0615595799452
Guinea-Bissau,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0610250220103,0.0508475310199,0.0725624404794
The Gambia,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0442547397529,0.0373540082726,0.0515304306129
Guinea,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0433504351347,0.0363695217741,0.0510969449222
Ghana,2015,40-44 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0570143846796,0.0470914664888,0.0666178284599
