Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0235749164389,0.0193738110026,0.0282585442718
Mauritius,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.108290703886,0.0904538780062,0.126981140378
Malawi,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0202070566408,0.016686927442,0.0241479810382
Rwanda,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0186293028428,0.0151847569411,0.0223329420577
Somalia,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0239008806555,0.0194556865855,0.0287604867339
Zambia,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0254884343125,0.02078412615,0.0307175676185
Kenya,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0204458839753,0.0166371609964,0.024274537553
Madagascar,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0195601933013,0.0160068920829,0.0232739972923
South Sudan,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.026586914875,0.0218495444909,0.0317332436348
Seychelles,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0524043833969,0.0438493543234,0.0619031669507
Tanzania,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0189606103598,0.0156961218711,0.0225542283444
Uganda,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0209385315359,0.0172769823786,0.0248358929022
Zimbabwe,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0373820965103,0.0310053462992,0.0446411506846
Ethiopia,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0227525881065,0.0185236807598,0.0271266752212
Eritrea,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0222353021414,0.0180371863332,0.026521371387
Djibouti,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0285593431208,0.0232609892388,0.034209920241
Comoros,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0232918838964,0.0191957192506,0.0276233031463
Burundi,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0202860147362,0.0167977991173,0.0241701986192
Gabon,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0489218935345,0.03933281632,0.0586203483294
Equatorial Guinea,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0564188321806,0.0461239000359,0.068205119807
Chad,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0338259195731,0.0281229260967,0.0395197064755
Sao Tome and Principe,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0289185096585,0.0240223343618,0.0341180740425
Congo,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0425673623831,0.0347758758347,0.0511921721171
Democratic Republic of the Congo,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.032558554221,0.0264786109768,0.0385985157832
Cameroon,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0348210195212,0.0289349928347,0.0408225420617
Central African Republic,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.039963257776,0.0327315126315,0.0478242876309
Angola,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0403618096766,0.0327771068578,0.0487830254665
Morocco,2015,30-34 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0595322734342,0.0494719425668,0.071069686542
