Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0108178493,0.0086263758,0.0134203811
Mauritius,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.052690169,0.0423149867,0.0642068988
Malawi,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0096424653,0.0075985833,0.0117816546
Rwanda,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0085568095,0.0068726272,0.0105382172
Somalia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0112022044,0.0088029583,0.0138120421
Zambia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0118437699,0.0094596356,0.0147630145
Kenya,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0088736017,0.0070102151,0.0110132955
Madagascar,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0089975436,0.007144504,0.0110986091
South Sudan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0125124329,0.0098532662,0.0155617072
Seychelles,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0248853917,0.0200381154,0.0305217543
Tanzania,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0089643775,0.0072245032,0.0110799275
Uganda,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0099486824,0.0078826995,0.0122934531
Zimbabwe,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0189513227,0.015358032,0.0227480565
Ethiopia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0106224213,0.0084674033,0.0131263742
Eritrea,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0102934442,0.0082355156,0.0126335596
Djibouti,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.013652881,0.0108135772,0.0169216557
Comoros,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0108185588,0.0087048062,0.0133377551
Burundi,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0095581495,0.0076744926,0.01173299
Gabon,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0212883701,0.0168194883,0.0261842955
Equatorial Guinea,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0249760488,0.0193779267,0.0310707957
Chad,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0167919752,0.0134974645,0.0204012666
Sao Tome and Principe,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0133587859,0.0107451828,0.0161703819
Congo,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0183394597,0.0145838091,0.0227437366
Democratic Republic of the Congo,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0140894753,0.0111914957,0.0174079841
Cameroon,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0166406043,0.0132334523,0.0204811144
Central African Republic,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0173570882,0.0137344855,0.0215010924
Angola,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0177980715,0.0140255903,0.0220050253
Morocco,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0259474569,0.0213871076,0.0310805893
Libya,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0160248294,0.0132047188,0.0192438773
Sudan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0169647693,0.0137372205,0.0205848687
Tunisia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0193454373,0.015785821,0.023482459
Algeria,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0282265522,0.0228322962,0.0341700471
Namibia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0194649759,0.0158097502,0.023551098
Swaziland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.029643474,0.0236728126,0.0361876621
Lesotho,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0244753156,0.0195423956,0.0295540428
South Africa,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0222484966,0.0178992037,0.0268950126
Botswana,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0238430456,0.0187290034,0.0294666158
Togo,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.013956057,0.0112943493,0.0170159346
Sierra Leone,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0155619415,0.0125700485,0.0186561292
Senegal,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.017551245,0.0138864477,0.0214477116
Nigeria,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0112647614,0.0091752556,0.0134153543
Niger,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0149345828,0.012132695,0.0181393908
Mauritania,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0158303932,0.0126576642,0.0193371018
Mali,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0148096211,0.0121575395,0.0177054959
Liberia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0140720864,0.0113098336,0.0168652073
Guinea-Bissau,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0179331792,0.0144183615,0.0218398799
The Gambia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0120564488,0.0097916112,0.0143785277
Guinea,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0122114813,0.0099359563,0.014581032
Ghana,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0143380331,0.0113415931,0.017497899
Cape Verde,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0210413755,0.0172409639,0.0253342135
Cote d'Ivoire,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0161228075,0.0130647672,0.0196948599
Burkina Faso,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0127892365,0.0101759292,0.015573925
Benin,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0126599069,0.010178596,0.0153228217
Dominica,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0354267832,0.0294293726,0.0417028821
Dominican Republic,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.017768594,0.0145313743,0.0208988161
Antigua and Barbuda,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0237173548,0.0195766291,0.0279231421
Cuba,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0141143811,0.0115609803,0.0166478539
Grenada,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0275700821,0.0221325691,0.0329191963
Jamaica,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0249330926,0.0206199438,0.0290922123
Trinidad and Tobago,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0328234107,0.0260410281,0.0394731514
The Bahamas,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0246035531,0.020040535,0.0293220726
Saint Lucia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0229859388,0.0189938601,0.0266742109
Saint Vincent and the Grenadines,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.029418941,0.0237771615,0.0350661514
Barbados,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0297925709,0.0241450014,0.0355066019
Haiti,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0219943929,0.0179561239,0.0264718334
Puerto Rico,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0225511861,0.0186313509,0.0269314859
"Virgin Islands, U.S.",2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0200659926,0.0162144945,0.0241265698
Panama,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0210081921,0.0172851552,0.0249463222
El Salvador,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0226656146,0.0181219021,0.0274471344
Nicaragua,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0164589175,0.0134816596,0.0194672326
Mexico,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0308727,0.0256145146,0.0361897659
Honduras,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.016200681,0.0129618169,0.0197084478
Guatemala,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0317766814,0.0256481626,0.0387242544
Costa Rica,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0113409875,0.0093267017,0.0135496302
Belize,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0232552964,0.0190295595,0.0275205975
United States,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0147637991,0.0134932652,0.0160829489
Greenland,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0056465878,0.0046178421,0.0066560993
Bermuda,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0149268258,0.0121903955,0.0178934949
Colombia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0145186476,0.0119939063,0.0172772266
Guyana,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0281865421,0.0228639897,0.0333656572
Ecuador,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0164982957,0.0131701589,0.0199457101
Paraguay,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0189682284,0.015526721,0.0226182567
Suriname,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0221357103,0.0181818496,0.0261913706
Uruguay,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0065609291,0.0054635396,0.0076956329
Venezuela,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0204412663,0.0169509689,0.0243111717
Peru,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0082883279,0.0067605163,0.0099842351
Chile,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0056634965,0.0046446664,0.006754588
Brazil,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0161489391,0.0132624099,0.0191758768
Bolivia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0142527166,0.0116786828,0.0171237036
Argentina,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0071553971,0.0059843732,0.0083767393
Turkmenistan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0141829794,0.0115381065,0.0169547947
Uzbekistan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0119716586,0.0098768515,0.0143926231
Tajikistan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0094758342,0.0077359371,0.0112570004
Kyrgyzstan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0072512542,0.0059256683,0.0086604064
Kazakhstan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.01082481,0.0089303766,0.0131195033
Mongolia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0097973969,0.0078857301,0.0118580353
Taiwan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0341994083,0.0273926942,0.041654684
South Korea,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0080675217,0.0065797999,0.0096274273
North Korea,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0254965602,0.0208114271,0.0309120782
Japan,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0047713307,0.0039419733,0.0057442213
China,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.031723803,0.0268529295,0.0369089002
Myanmar,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0248001006,0.0199090917,0.0311582121
Cambodia,2015,20-24 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.0158522046,0.0125207416,0.0194334431
