Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Mozambique,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1226792731,0.1050306046,0.1430924476
Mauritius,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.5101469972,0.468805875,0.550960034
Malawi,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1109587503,0.0946894936,0.1279575721
Rwanda,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1101548538,0.0940191583,0.1269213544
Somalia,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1227823783,0.1043287677,0.1423092415
Zambia,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1290921045,0.1110792275,0.1493300677
Kenya,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.110673368,0.0952110188,0.1272418615
Madagascar,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1045814525,0.0895672494,0.1210706116
South Sudan,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1382068127,0.1172907483,0.1598027962
Seychelles,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2302473048,0.2028963144,0.261010688
Tanzania,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1054906018,0.0903813024,0.1225140282
Uganda,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1063323763,0.0914534174,0.1222237821
Zimbabwe,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2090960234,0.1815347013,0.237071576
Ethiopia,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1175132616,0.1010369924,0.1350214675
Eritrea,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1175519735,0.1003022578,0.1359385818
Djibouti,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1468447698,0.1249731317,0.1692998619
Comoros,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1297342962,0.11102928,0.1495304715
Burundi,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1088018608,0.0928802995,0.1245320908
Gabon,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.255568703,0.2215370548,0.2931389057
Equatorial Guinea,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2815461702,0.242811102,0.3207573003
Chad,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1311351601,0.1119427638,0.1510076366
Sao Tome and Principe,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1203755094,0.104052715,0.1376930775
Congo,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2238775006,0.1944138401,0.256154758
Democratic Republic of the Congo,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1725000026,0.1491552571,0.1973069405
Cameroon,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1333901524,0.1152422702,0.1530544893
Central African Republic,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.1914772327,0.1660094679,0.2188196147
Angola,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2006870884,0.1722870216,0.2291139435
Morocco,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.3438776723,0.2997852911,0.3902349432
Libya,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2498089961,0.2195665914,0.283003958
Sudan,2015,60-64 years,Both,Diabetes mellitus,Percent of total prevalent cases,0.2381484188,0.2081336934,0.2715382402
