Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Mauritius,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Malawi,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Rwanda,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Somalia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Zambia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Kenya,2015,45-49 years,Both,High body-mass index,Exposure per 100,4.0884689488175,2.5097335127651,5.932292174231
Madagascar,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
South Sudan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Seychelles,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Tanzania,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Uganda,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Zimbabwe,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Ethiopia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Eritrea,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Djibouti,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Comoros,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Burundi,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Gabon,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Equatorial Guinea,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Chad,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Sao Tome and Principe,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Congo,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Democratic Republic of the Congo,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Cameroon,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Central African Republic,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Angola,2015,45-49 years,Both,High body-mass index,Exposure per 100,3.9858615107231,2.3091827327893,6.1608292864277
Morocco,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Libya,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Sudan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Tunisia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Algeria,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Namibia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Swaziland,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Lesotho,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
South Africa,2015,45-49 years,Both,High body-mass index,Exposure per 100,10.55857531115,7.6873022642929,13.788996508629001
Botswana,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Togo,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Sierra Leone,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Senegal,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Nigeria,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Niger,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Mauritania,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Mali,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Liberia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Guinea-Bissau,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
The Gambia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Guinea,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Ghana,2015,45-49 years,Both,High body-mass index,Exposure per 100,5.095550347508801,2.9702896147649,7.5263922711352
Cape Verde,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Cote d'Ivoire,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Burkina Faso,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Benin,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Dominica,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Dominican Republic,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Antigua and Barbuda,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Cuba,2015,45-49 years,Both,High body-mass index,Exposure per 100,7.5319584749236,4.7530951521939,10.628127408551
Grenada,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Jamaica,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Trinidad and Tobago,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
The Bahamas,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Saint Lucia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Saint Vincent and the Grenadines,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Barbados,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Haiti,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Puerto Rico,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
"Virgin Islands, U.S.",2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Panama,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
El Salvador,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Nicaragua,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Mexico,2015,45-49 years,Both,High body-mass index,Exposure per 100,9.7285268337339,6.7649705930791,12.982004265397002
Honduras,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Guatemala,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Costa Rica,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Belize,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
United States,2015,45-49 years,Both,High body-mass index,Exposure per 100,10.166837355187,7.1415204092101,13.529013513241
Greenland,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Bermuda,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Colombia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Guyana,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Ecuador,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Paraguay,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Suriname,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Uruguay,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Venezuela,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Peru,2015,45-49 years,Both,High body-mass index,Exposure per 100,7.5401872484874,4.7990440001605,10.575036706391
Chile,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Brazil,2015,45-49 years,Both,High body-mass index,Exposure per 100,7.453765873787501,4.8333073321806,10.270703185754
Bolivia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Argentina,2015,45-49 years,Both,High body-mass index,Exposure per 100,7.454451460277401,4.4726740356065,10.624810929583
Turkmenistan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Uzbekistan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Tajikistan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Kyrgyzstan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Kazakhstan,2015,45-49 years,Both,High body-mass index,Exposure per 100,8.281912690838201,5.2793913010191,11.826877334913
Mongolia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Taiwan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
South Korea,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
North Korea,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Japan,2015,45-49 years,Both,High body-mass index,Exposure per 100,2.4149360481747,1.0973115296224,4.0719518841281
China,2015,45-49 years,Both,High body-mass index,Exposure per 100,3.3499515907441997,1.6775677620506,5.3630839331969
Myanmar,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Cambodia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Vietnam,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Laos,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Malaysia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Thailand,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Brunei,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Philippines,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Indonesia,2015,45-49 years,Both,High body-mass index,Exposure per 100,3.8108468124745998,2.0023214856508003,6.269103166014
Singapore,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Timor-Leste,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Maldives,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Nepal,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Pakistan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Iran,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Sri Lanka,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Bhutan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Bangladesh,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Afghanistan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Oman,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Kuwait,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Palestine,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Lebanon,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Qatar,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Saudi Arabia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Turkey,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Yemen,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Iraq,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Jordan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Syria,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Israel,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Georgia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Cyprus,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Bahrain,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Azerbaijan,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Armenia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
United Arab Emirates,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Moldova,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Hungary,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Poland,2015,45-49 years,Both,High body-mass index,Exposure per 100,6.1838955373336,3.6199982260386,9.0954768381431
Romania,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Ukraine,2015,45-49 years,Both,High body-mass index,Exposure per 100,7.445351784878,4.6702381984473,10.732282745995
Belarus,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Czech Republic,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Russia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Slovakia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Bulgaria,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Norway,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Sweden,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Lithuania,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Latvia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Ireland,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Iceland,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
United Kingdom,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Finland,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Estonia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Denmark,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Macedonia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Montenegro,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Croatia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Malta,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Slovenia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Greece,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Italy,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Portugal,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Serbia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Spain,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Bosnia and Herzegovina,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Andorra,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Albania,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Netherlands,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Luxembourg,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
France,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Germany,2015,45-49 years,Both,High body-mass index,Exposure per 100,7.367735446441399,4.661518300499099,10.585867390299999
Switzerland,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Belgium,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Austria,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
New Zealand,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Australia,2015,45-49 years,Both,High body-mass index,Exposure per 100,9.5216302226345,6.0722758190668,13.266897158482
Papua New Guinea,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Vanuatu,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Solomon Islands,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Fiji,2015,45-49 years,Both,High body-mass index,Exposure per 100,8.3631070317414,4.9254747080998005,12.76494311624
Guam,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Northern Mariana Islands,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Marshall Islands,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Federated States of Micronesia,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Kiribati,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Samoa,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Tonga,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
American Samoa,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Canada,2015,45-49 years,Both,High body-mass index,Exposure per 100,0,0,0
Egypt,2015,45-49 years,Both,High body-mass index,Exposure per 100,11.15332623052,7.6417434371646,15.116034217584001
India,2015,45-49 years,Both,High body-mass index,Exposure per 100,2.3053781205038,1.2422351848089,3.5429838084396

"Global Burden of Disease Study 2015. Global Burden of Disease Study 2015 (GBD 2015) Results. Seattle, United States: Institute for Health Metrics and Evaluation (IHME), 2016."
"Available from from https://http://vizhub.healthdata.org/gbd-compare/"
"For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
