Location,Year,Age,Sex,Risk factor,Measure,Value,Lower bound,Upper bound
Mozambique,2015,55-59 years,Both,High body-mass index,Exposure per 100,4.922424835179999,2.5190831956341997,8.191466350146
Mauritius,2015,55-59 years,Both,High body-mass index,Exposure per 100,7.9678223263906,4.5935439043145,11.856329186828999
Malawi,2015,55-59 years,Both,High body-mass index,Exposure per 100,3.4000476375935,1.4924231803762,5.9649279422908
Rwanda,2015,55-59 years,Both,High body-mass index,Exposure per 100,3.1724090027531,1.3225498911528,5.6047737618330995
Somalia,2015,55-59 years,Both,High body-mass index,Exposure per 100,3.5234824559306004,1.621638544788,6.3181479634942
Zambia,2015,55-59 years,Both,High body-mass index,Exposure per 100,5.7632699632217,2.7618899443586,9.472823742358399
Kenya,2015,55-59 years,Both,High body-mass index,Exposure per 100,5.0304679467943005,3.0926671173271,7.2543853537945
Madagascar,2015,55-59 years,Both,High body-mass index,Exposure per 100,2.0688542541946,0.8038802865451601,4.0271405281454005
South Sudan,2015,55-59 years,Both,High body-mass index,Exposure per 100,4.0630200322711,1.8765320141388,7.103369465547201
Seychelles,2015,55-59 years,Both,High body-mass index,Exposure per 100,10.202202668402,6.590181628538399,14.428091978012999
Tanzania,2015,55-59 years,Both,High body-mass index,Exposure per 100,3.7764601466585,2.0063331018308,6.038056559138201
Uganda,2015,55-59 years,Both,High body-mass index,Exposure per 100,3.5111180466072,1.7900957167308,5.5501433210386
Zimbabwe,2015,55-59 years,Both,High body-mass index,Exposure per 100,6.5373670240465005,3.851880040385,9.4886054529157
Ethiopia,2015,55-59 years,Both,High body-mass index,Exposure per 100,2.6674695183459,1.1451660170158,5.024729944231001
Eritrea,2015,55-59 years,Both,High body-mass index,Exposure per 100,1.7406589376963,0.6355023935669,3.4088822855244
Djibouti,2015,55-59 years,Both,High body-mass index,Exposure per 100,6.6202039737288,3.4041276171844,10.794891340824
Comoros,2015,55-59 years,Both,High body-mass index,Exposure per 100,4.6364760038864,2.1612079901983003,7.807412679495999
Burundi,2015,55-59 years,Both,High body-mass index,Exposure per 100,1.1850856935455,0.41568756418209,2.363419273944
Gabon,2015,55-59 years,Both,High body-mass index,Exposure per 100,8.340920307403001,5.215081407449,12.066569036897
Equatorial Guinea,2015,55-59 years,Both,High body-mass index,Exposure per 100,5.5382853937722,3.2990342648826996,8.1841909726114
Chad,2015,55-59 years,Both,High body-mass index,Exposure per 100,6.318842167618401,3.6489181282714,9.772635302525499
Sao Tome and Principe,2015,55-59 years,Both,High body-mass index,Exposure per 100,6.2450429488292,3.5462545927882996,9.7577859572119
Congo,2015,55-59 years,Both,High body-mass index,Exposure per 100,4.366851841659,2.2930418944616,6.8779526108564
Democratic Republic of the Congo,2015,55-59 years,Both,High body-mass index,Exposure per 100,2.0739385549796,0.9631224466963,3.5112367092145997
Cameroon,2015,55-59 years,Both,High body-mass index,Exposure per 100,7.8482384933155,4.7533382573374,11.421170305197
Central African Republic,2015,55-59 years,Both,High body-mass index,Exposure per 100,3.3654117245255,1.8278780643719998,5.3583923769744
Angola,2015,55-59 years,Both,High body-mass index,Exposure per 100,4.7101640153665,2.6853397914926003,7.0366823994297
Morocco,2015,55-59 years,Both,High body-mass index,Exposure per 100,7.142355396681201,4.3508457254995,10.628342349899
